name,rank,release_year,rating
Planet Earth II,1,2016,9.4
Breaking Bad,2,2008,9.4
Planet Earth,3,2006,9.4
Band of Brothers,4,2001,9.4
Chernobyl,5,2019,9.3
The Wire,6,2002,9.3
Avatar: The Last Airbender,7,2005,9.2
Blue Planet II,8,2017,9.2
The Sopranos,9,1999,9.2
Cosmos: A Spacetime Odyssey,10,2014,9.2
Cosmos,11,1980,9.2
Our Planet,12,2019,9.2
Game of Thrones,13,2011,9.1
The World at War,14,1973,9.1
Rick and Morty,15,2013,9.1
Hagane no renkinjutsushi,16,2009,9.0
The Last Dance,17,2020,9.0
Life,18,2009,9.0
Bluey,19,2018,9.0
The Twilight Zone,20,1959,9.0
Sherlock,21,2010,9.0
The Vietnam War,22,2017,9.0
Batman: The Animated Series,23,1992,9.0
Scam 1992: The Harshad Mehta Story,24,2020,8.9
Shingeki no Kyojin,25,2013,8.9
Arcane: League of Legends,26,2021,8.9
The Blue Planet,27,2001,8.9
The Office,28,2005,8.9
Human Planet,29,2011,8.9
Firefly,30,2002,8.9
Frozen Planet,31,2011,8.9
Better Call Saul,32,2015,8.9
Death Note: Desu nôto,33,2006,8.9
Clarkson's Farm,34,2021,8.9
Only Fools and Horses....,35,1981,8.9
The Civil War,36,1990,8.9
Hunter x Hunter,37,2011,8.9
True Detective,38,2014,8.9
Seinfeld,39,1989,8.9
Dekalog,40,1989,8.9
Sahsiyet,41,2018,8.9
The Beatles: Get Back,42,2021,8.9
Fargo,43,2014,8.9
Kaubôi bibappu: Cowboy Bebop,44,1998,8.8
Nathan for You,45,2013,8.8
Gravity Falls,46,2012,8.8
When They See Us,47,2019,8.8
Last Week Tonight with John Oliver,48,2014,8.8
Friends,49,1994,8.8
Apocalypse: La 2ème guerre mondiale,50,2009,8.8
Africa,51,2013,8.8
Succession,52,2018,8.8
TVF Pitchers,53,2015,8.8
Taskmaster,54,2015,8.8
It's Always Sunny in Philadelphia,55,2005,8.8
Monty Python's Flying Circus,56,1969,8.8
Das Boot,57,1985,8.8
Gibi,58,2021,8.8
The West Wing,59,1999,8.8
Curb Your Enthusiasm,60,2000,8.8
Leyla ile Mecnun,61,2011,8.8
Fawlty Towers,62,1975,8.8
Pride and Prejudice,63,1995,8.7
Freaks and Geeks,64,1999,8.7
The Last of Us,65,2023,8.7
BoJack Horseman,66,2014,8.7
Blackadder Goes Forth,67,1989,8.7
Twin Peaks,68,1990,8.7
Black Mirror,69,2011,8.7
Narcos,70,2015,8.7
Dragon Ball Z,71,1989,8.7
One Piece: Wan pîsu,72,1999,8.7
Chappelle's Show,73,2003,8.7
Dragon Ball Z: Doragon bôru zetto,74,1989,8.7
"I, Claudius",75,1976,8.7
South Park,76,1997,8.7
Over the Garden Wall,77,2014,8.7
Kota Factory,78,2019,8.7
Six Feet Under,79,2001,8.7
Rome,80,2005,8.7
Peaky Blinders,81,2013,8.7
Oz,82,1997,8.7
Ted Lasso,83,2020,8.7
Dark,84,2017,8.7
Steins;Gate,85,2011,8.7
The Boys,86,2019,8.7
Gullak,87,2019,8.7
Fleabag,88,2016,8.7
Arrested Development,89,2003,8.7
Panchayat,90,2020,8.6
The Simpsons,91,1989,8.6
Vinland Saga,92,2019,8.6
One Punch Man: Wanpanman,93,2015,8.6
The Shield,94,2002,8.6
Battlestar Galactica,95,2004,8.6
House M.D.,96,2004,8.6
